YYYY ,MM ,DD ,SST_MIN ,SST_MAX ,SST@90th_HS ,SSTA@90th_HS ,90th_HS>0 ,DHW_from_90th_HS>1 ,BAA_7day_max
1985,1,1,28.4200,29.2900,29.1000,0.6171,0.4500,0.0000,0
1985,1,2,28.4800,29.3900,28.9500,0.6206,0.5200,0.0000,0
1985,1,3,28.4100,29.2500,28.9000,0.4968,0.4000,0.0000,0
1985,1,4,28.3300,29.1600,28.7700,0.3581,0.2800,0.0000,0
1985,1,5,28.6000,29.7700,29.0100,0.5803,0.4900,0.0000,0
1985,1,6,28.4300,29.8500,28.8600,0.4629,0.3700,0.0000,0
1985,1,7,28.3100,29.9300,29.6600,0.3632,0.3400,0.0000,0
1985,1,8,27.8100,30.0800,29.5900,0.5003,0.4800,0.0000,0
1985,1,9,28.1500,30.2800,29.9300,0.7658,0.7600,0.0000,0
1985,1,10,28.3000,30.3700,29.8100,0.9435,0.9000,0.0000,0
1985,1,11,28.0200,30.3500,30.2100,0.9216,0.9100,0.0000,0
1985,1,12,27.7600,30.2700,29.9700,0.8487,0.8400,0.0000,0
1985,1,13,27.8900,30.0100,29.7700,0.5932,0.5900,0.0000,0
1985,1,14,27.5600,29.7500,29.3800,0.2732,0.2700,0.0000,0
1985,1,15,27.0100,29.6300,29.2000,0.0700,0.0700,0.0000,0
1985,1,16,26.7700,29.3600,28.7200,-0.3700,0.0000,0.0000,0
1985,1,17,26.9800,29.1900,28.6100,-0.4861,0.0000,0.0000,0
1985,1,18,27.1400,29.3600,28.6900,-0.3942,0.0000,0.0000,0
1985,1,19,27.7300,29.2000,29.1400,-0.1655,0.0000,0.0000,0
1985,1,20,27.4300,29.0400,28.9700,-0.3026,0.0000,0.0000,0
1985,1,21,27.0300,29.0100,28.6700,-0.4387,0.0000,0.0000,0
1985,1,22,27.2700,29.0200,28.7600,-0.3629,0.0000,0.0000,0
1985,1,23,27.4200,28.9600,28.9000,-0.3187,0.0000,0.0000,0
1985,1,24,27.7300,29.0400,28.2300,-0.2135,0.0000,0.0000,0
1985,1,25,27.8600,29.6600,29.0900,-0.0006,0.0000,0.0000,0
1985,1,26,27.9700,29.6800,28.5200,-0.0781,0.0000,0.0000,0
1985,1,27,27.8700,29.5900,28.9200,-0.1039,0.0000,0.0000,0
1985,1,28,27.7600,29.5100,28.9000,-0.1400,0.0000,0.0000,0
1985,1,29,27.8000,29.4600,28.9200,-0.1145,0.0000,0.0000,0
1985,1,30,27.8900,29.4600,29.0000,-0.0206,0.0000,0.0000,0
1985,1,31,27.9300,29.3900,29.0300,0.0106,0.0000,0.0000,0
1985,2,1,27.9400,29.3500,29.0300,0.0255,0.0000,0.0000,0
1985,2,2,27.9900,29.3000,29.0400,0.0674,0.0000,0.0000,0
1985,2,3,28.0100,29.3000,29.2200,0.1474,0.0000,0.0000,0
1985,2,4,28.0300,29.2400,29.0500,0.0729,0.0000,0.0000,0
1985,2,5,27.8700,29.2200,29.0200,0.0500,0.0000,0.0000,0
1985,2,6,27.7600,29.2400,29.0600,0.1000,0.0000,0.0000,0
1985,2,7,27.5800,29.3500,29.1100,0.1797,0.0000,0.0000,0
1985,2,8,27.5400,29.4000,29.1500,0.2100,0.0000,0.0000,0
1985,2,9,27.6400,29.3200,29.1900,0.2884,0.0000,0.0000,0
1985,2,10,27.6900,29.2400,29.0500,0.1948,0.0000,0.0000,0
1985,2,11,27.7300,29.2300,29.1600,0.2823,0.0000,0.0000,0
1985,2,12,27.7400,29.1700,29.1500,0.2613,0.0000,0.0000,0
1985,2,13,27.2600,29.0600,28.8500,0.0029,0.0000,0.0000,0
1985,2,14,27.4400,29.1300,29.0900,0.2158,0.0000,0.0000,0
1985,2,15,27.3400,29.1800,29.1300,0.2500,0.0000,0.0000,0
1985,2,16,27.4800,29.1500,29.0000,0.1786,0.0000,0.0000,0
1985,2,17,27.4800,29.0900,29.0000,0.1657,0.0000,0.0000,0
1985,2,18,27.5500,29.0100,29.0100,0.1879,0.0000,0.0000,0
1985,2,19,27.6100,28.9400,28.4400,-0.0943,0.0000,0.0000,0
1985,2,20,27.6500,28.8900,28.3700,-0.0836,0.0000,0.0000,0
1985,2,21,27.4000,28.7200,28.2900,-0.1736,0.0000,0.0000,0
1985,2,22,27.2300,28.7400,28.1900,-0.2575,0.0000,0.0000,0
1985,2,23,27.2900,28.6800,28.1600,-0.2429,0.0000,0.0000,0
1985,2,24,27.4800,28.5800,28.3700,-0.1182,0.0000,0.0000,0
1985,2,25,27.6400,28.6000,28.4300,0.0471,0.0000,0.0000,0
1985,2,26,27.3600,28.4600,27.9900,-0.2143,0.0000,0.0000,0
1985,2,27,27.1500,28.4400,27.8000,-0.3671,0.0000,0.0000,0
1985,2,28,27.2000,28.5000,27.8200,-0.3532,0.0000,0.0000,0
1985,3,1,27.3900,28.6700,28.6600,-0.0500,0.0000,0.0000,0
1985,3,2,27.5500,29.0100,28.9200,0.1871,0.0000,0.0000,0
1985,3,3,27.6500,28.9500,28.8600,0.1514,0.0000,0.0000,0
